ID,LATITUDE,LONGITUDE,DATUM,NETWORK_ST,STATION_NA,METHOD,VS30__M_S_,MAX_DEPTH,CONTACT,REFERENCE,URL,GEOLOGIC_D,COMMENTS,IP2007,Junko2018
SKA.260,47.644,-122.203,WGS84?,NA,Mercer Slough (S29b),SCPT,33.7,365.8,Ray_Cakir,BilderbackEA2008_(WA-DNR_08-2),http://www.dnr.wa.gov/Publications/ger_ofr2008-2_shear_wave_database.zip,http://www.dnr.wa.gov/publications/ger_portal_surface_geology_24k.zip; http://www.dnr.wa.gov/publications/ger_portal_surface_geology_100k.zip,Measured,7,3a
SKA.259,47.644,-122.203,WGS84?,NA,Mercer Slough (S29a),SCPT,43,457.2,Ray_Cakir,BilderbackEA2008_(WA-DNR_08-2),http://www.dnr.wa.gov/Publications/ger_ofr2008-2_shear_wave_database.zip,http://www.dnr.wa.gov/publications/ger_portal_surface_geology_24k.zip; http://www.dnr.wa.gov/publications/ger_portal_surface_geology_100k.zip,Measured,7,3a
SKA.812,49.112006,-122.912523,WGS84?,NA,FD97-7,PS_Susp_Log,45.9,37,Jim_Hunter,HunterEA1998_(GSC_OF3622),http://geoscan.nrcan.gc.ca/starweb/geoscan/servlet.starweb?path=geoscan/fulle.web&search1=R=298718,http://geoscan.ess.nrcan.gc.ca/cgi-bin/starfinder/0?path=geoscan.fl&id=fastlink&pass=&search=R%3D194084&format=FLFULL,Measured,11,11
SKA.332,47.97796,-122.1518,WGS84?,NA,Ebey_Slough_1,Unknown,96.2,59.4,Ray_Cakir,BilderbackEA2008_(WA-DNR_08-2),http://www.dnr.wa.gov/Publications/ger_ofr2008-2_shear_wave_database.zip,http://www.dnr.wa.gov/publications/ger_portal_surface_geology_24k.zip; http://www.dnr.wa.gov/publications/ger_portal_surface_geology_100k.zip,Measured,11,8
SKA.288,47.572,-122.338,WGS84?,NA,Spokane St. Viaduct (S11g),Unknown,99.1,30.5,Ray_Cakir,BilderbackEA2008_(WA-DNR_08-2),http://www.dnr.wa.gov/Publications/ger_ofr2008-2_shear_wave_database.zip,http://www.dnr.wa.gov/publications/ger_portal_surface_geology_24k.zip; http://www.dnr.wa.gov/publications/ger_portal_surface_geology_100k.zip,Measured,18,8
SKA.115,46.15786,-123.03593,WGS84?,NA,Barlow Point Rd,SH-Wave_refr,100.7,32,Ray_Cakir,BilderbackEA2008_(WA-DNR_08-2),http://www.dnr.wa.gov/Publications/ger_ofr2008-2_shear_wave_database.zip,http://www.dnr.wa.gov/publications/ger_portal_surface_geology_24k.zip; http://www.dnr.wa.gov/publications/ger_portal_surface_geology_100k.zip,Measured,15,10
DB.322,38.060126,-122.494521,WGS84,NA,Hamilton Air Force Base,Downhole,106,25.4,David M. Boore,"Boore, D. M. (2003), A compendium of P- and S-wave velocities from surface- to-borehole logging: Summary and reanalysis of previously published data and analysis of unpublished data, U.S. Geological Survey Open-File Report 2003-191, 13 p.",http://www.daveboore.com/data_online.html,NA,Original coordinates were in NAD27; converted to WGS84 using ArcGIS.,18,11
SKA.857,49.096005,-123.069401,WGS84?,NA,SCPM93-7,SCPT,106.1,28.7,Jim_Hunter,HunterEA1998_(GSC_OF3622),http://geoscan.nrcan.gc.ca/starweb/geoscan/servlet.starweb?path=geoscan/fulle.web&search1=R=298718,http://geoscan.ess.nrcan.gc.ca/cgi-bin/starfinder/0?path=geoscan.fl&id=fastlink&pass=&search=R%3D194084&format=FLFULL,DEA13,18,11
TH.24,37.77324,-122.26594,WGS84,NA,ALC024,SCPT,108,17.3,Thomas L. Holzer,NA,http://earthquake.usgs.gov/research/cpt/data/,NA,NA,15,8
SKA.887,49.142965,-122.934818,WGS84?,NA,SCPT93-6,SCPT,111.2,24.15,Jim_Hunter,HunterEA1998_(GSC_OF3622),http://geoscan.nrcan.gc.ca/starweb/geoscan/servlet.starweb?path=geoscan/fulle.web&search1=R=298718,http://geoscan.ess.nrcan.gc.ca/cgi-bin/starfinder/0?path=geoscan.fl&id=fastlink&pass=&search=R%3D194084&format=FLFULL,DEA13,9,11
